Calibracion,Mercado,Fuente_Cuotas,Gestion Capital,Banca Final,Monto Apostado,ROI,Total Apuestas,Win Rate,Max Drawdown
UNCAL,PORTFOLIO_REAL,Real (Bet365),QUARTER,$11.57,$11652.78,-8.48%,2140,31.73%,99.49%
UNCAL,PORTFOLIO_REAL,Real (Bet365),EDGE,$1.90,$11592.48,-8.61%,1241,32.47%,99.93%
UNCAL,PORTFOLIO,Mixto (Real + Sintético),FLAT,$9.97,$19670.00,-5.03%,1967,31.67%,99.15%
UNCAL,PORTFOLIO,Mixto (Real + Sintético),KELLY,$0.93,$4895.73,-20.41%,590,34.58%,99.91%
UNCAL,PORTFOLIO,Mixto (Real + Sintético),HALF,$1.94,$11780.54,-8.47%,1537,33.51%,99.81%
UNCAL,PORTFOLIO,Mixto (Real + Sintético),QUARTER,$6.70,$17503.37,-5.67%,2288,30.68%,99.62%
UNCAL,PORTFOLIO,Mixto (Real + Sintético),EDGE,$1.99,$11400.20,-8.75%,1294,33.00%,99.82%
ISO,1X2,Real (Bet365),FLAT,$214.90,$20410.00,-3.85%,2041,26.70%,98.27%
ISO,1X2,Real (Bet365),KELLY,$0.91,$23551.50,-4.24%,523,25.62%,99.98%
ISO,1X2,Real (Bet365),HALF,$1.98,$29988.52,-3.33%,1311,26.32%,99.93%
ISO,1X2,Real (Bet365),QUARTER,$34.61,$27464.56,-3.52%,2040,26.72%,98.89%
ISO,1X2,Real (Bet365),EDGE,$1.99,$24421.19,-4.09%,1110,26.22%,99.93%
ISO,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),FLAT,$498.66,$5380.00,-9.32%,538,55.58%,51.41%
ISO,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),KELLY,$1.39,$9113.78,-10.96%,536,55.78%,99.90%
ISO,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),HALF,$59.03,$8607.51,-10.93%,538,55.58%,95.02%
ISO,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),QUARTER,$274.75,$7117.69,-10.19%,538,55.58%,74.82%
ISO,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),EDGE,$60.00,$8110.85,-11.59%,538,55.58%,94.72%
ISO,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),FLAT,$787.19,$4740.00,-4.49%,474,48.95%,38.52%
ISO,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),KELLY,$18.04,$12909.15,-7.61%,474,48.95%,99.51%
